                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                0.50874,                0.63109,                 0.3432,                0.87209,                0.92383,                0.91132,                0.93519,                0.78902,                0.91301,                0.91205,                0.92964,                 0.7082,                 0.7583,                0.96212,                0.54453,                  1.058,              0.0060895,              0.0060895,              0.0060895
                     81,                0.50852,                0.63597,                0.34253,                0.87079,                0.91908,                 0.9167,                0.93614,                0.78869,                0.91368,                0.91172,                0.93063,                0.70851,                0.75604,                0.96272,                 0.5449,                 1.0561,                0.00604,                0.00604,                0.00604
                     82,                0.50437,                0.63004,                0.33933,                0.86944,                0.91808,                0.91737,                 0.9356,                0.79233,                0.91265,                0.91232,                0.92996,                 0.7078,                0.75646,                0.96794,                0.54581,                 1.0562,              0.0059905,              0.0059905,              0.0059905
                     83,                0.50029,                0.62317,                0.33696,                0.86883,                0.92161,                0.90935,                0.93478,                0.78986,                0.91375,                0.90982,                0.93046,                0.70791,                0.75641,                0.96869,                0.54474,                 1.0564,               0.005941,               0.005941,               0.005941
                     84,                0.49879,                   0.62,                0.33461,                0.86648,                0.92194,                0.91129,                0.93566,                0.78938,                0.91322,                 0.9103,                0.92973,                0.70907,                0.75755,                 0.9673,                0.54561,                 1.0606,              0.0058915,              0.0058915,              0.0058915
                     85,                0.49793,                0.62326,                0.33418,                0.86698,                0.92084,                0.90995,                0.93557,                0.78971,                0.92632,                0.89445,                0.92708,                0.70634,                0.75389,                0.97218,                0.54483,                 1.0567,               0.005842,               0.005842,               0.005842
                     86,                0.49469,                 0.6123,                0.33283,                0.86551,                0.92445,                0.91062,                0.93572,                0.78992,                0.91932,                0.90048,                0.92742,                0.70501,                0.75495,                 0.9694,                0.54226,                 1.0592,              0.0057925,              0.0057925,              0.0057925
                     87,                0.49269,                0.60994,                0.33139,                0.86514,                0.92408,                0.91185,                0.93576,                0.79183,                0.93054,                0.89651,                0.92621,                 0.7056,                0.75419,                 0.9722,                0.54204,                 1.0589,               0.005743,               0.005743,               0.005743
                     88,                0.49207,                0.61463,                0.33063,                0.86412,                0.92852,                0.90684,                0.93563,                0.79118,                0.92554,                0.90206,                0.92834,                0.70846,                0.75473,                0.97663,                0.54326,                 1.0582,              0.0056935,              0.0056935,              0.0056935
                     89,                0.48939,                 0.6076,                0.32908,                0.86349,                0.92847,                0.90812,                0.93571,                0.79035,                0.92475,                0.90403,                0.92787,                0.70944,                0.75241,                0.97763,                0.54278,                 1.0556,               0.005644,               0.005644,               0.005644
                     90,                 0.4877,                0.60505,                0.32699,                0.86342,                0.92589,                0.91398,                0.93495,                0.79191,                0.92297,                0.90623,                0.92745,                0.70973,                0.75143,                0.97996,                0.54344,                 1.0549,              0.0055945,              0.0055945,              0.0055945
                     91,                0.48535,                0.60324,                0.32542,                0.86198,                0.92377,                0.91472,                0.93532,                  0.793,                0.91823,                0.90967,                0.92783,                 0.7095,                0.75109,                0.98217,                0.54345,                  1.055,               0.005545,               0.005545,               0.005545
                     92,                0.48174,                0.59488,                0.32496,                0.86067,                0.92372,                0.91629,                0.93656,                0.79202,                 0.9195,                0.90848,                0.92816,                0.70933,                0.75209,                0.98161,                 0.5434,                 1.0566,              0.0054955,              0.0054955,              0.0054955
                     93,                0.48049,                0.59691,                0.32408,                0.85917,                0.92048,                0.91018,                0.93414,                0.78997,                0.92036,                0.90424,                0.92931,                0.71067,                0.75352,                 0.9826,                0.54429,                 1.0577,               0.005446,               0.005446,               0.005446
                     94,                0.47759,                0.59426,                0.32429,                 0.8582,                0.92281,                0.91042,                0.93433,                0.79167,                0.91922,                 0.9062,                0.92959,                0.71057,                 0.7547,                 0.9812,                0.54517,                  1.058,              0.0053965,              0.0053965,              0.0053965
                     95,                0.47793,                0.59109,                0.32338,                0.85817,                 0.9236,                0.91011,                0.93496,                0.79025,                0.91942,                0.90588,                0.92925,                0.71105,                0.75567,                0.98244,                0.54472,                 1.0582,               0.005347,               0.005347,               0.005347
                     96,                0.47307,                0.59013,                0.31927,                 0.8571,                0.92364,                0.91319,                0.93598,                0.79034,                0.91889,                 0.9054,                0.92861,                0.71208,                0.75593,                0.98323,                  0.543,                 1.0582,              0.0052975,              0.0052975,              0.0052975
                     97,                0.47191,                0.58721,                0.31682,                0.85579,                0.92395,                0.91068,                0.93481,                0.78975,                0.91975,                0.90406,                0.92889,                0.71276,                0.75492,                0.98452,                0.54374,                 1.0571,               0.005248,               0.005248,               0.005248
                     98,                0.47408,                0.58813,                0.31825,                0.85765,                0.92435,                0.90957,                0.93507,                0.79115,                0.91918,                0.90413,                0.92919,                0.71346,                0.75516,                0.98566,                0.54464,                 1.0572,              0.0051985,              0.0051985,              0.0051985
                     99,                0.46967,                0.58382,                0.31732,                0.85456,                0.92298,                0.91137,                0.93531,                0.79284,                0.91929,                0.90416,                0.92922,                0.71372,                0.75436,                0.98701,                0.54555,                 1.0563,               0.005149,               0.005149,               0.005149
                    100,                0.46927,                0.58108,                0.31576,                0.85277,                0.92332,                0.91148,                 0.9352,                0.79271,                0.92004,                 0.9037,                0.93002,                0.71306,                0.75432,                0.98655,                0.54485,                 1.0559,              0.0050995,              0.0050995,              0.0050995
                    101,                0.46442,                0.57284,                0.31321,                0.85286,                0.92287,                0.91134,                  0.935,                0.79231,                0.92034,                0.90374,                0.92987,                0.71272,                 0.7544,                 0.9854,                0.54465,                 1.0569,                0.00505,                0.00505,                0.00505
                    102,                0.46137,                0.57212,                0.31129,                 0.8508,                 0.9249,                0.90958,                0.93536,                0.79339,                 0.9208,                0.90424,                0.93042,                0.71203,                0.75469,                0.98622,                0.54629,                 1.0577,              0.0050005,              0.0050005,              0.0050005
                    103,                0.46121,                0.57132,                 0.3089,                0.85179,                0.92538,                0.90762,                0.93415,                0.79183,                0.92234,                0.90397,                0.93027,                0.71168,                0.75607,                0.98501,                0.54607,                 1.0603,               0.004951,               0.004951,               0.004951
                    104,                0.45617,                0.56606,                0.30489,                0.84975,                0.92689,                0.90583,                0.93412,                0.79306,                0.92441,                0.89973,                0.93042,                0.71345,                0.75635,                0.98562,                0.54698,                 1.0603,              0.0049015,              0.0049015,              0.0049015
